OBJECTID,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,ZIPCode,NeedsSync,IsDeleted
9484,5601020A5FF23D91,2021/01/03 21:56:00+00,High,SD,OVERDOSE,P210032375,1800 WASHINGTON BL,1800 WASHINGTON BL BALTIMORE MD,Carroll - Camden Industrial Area,Southern,941,10,D7,Washington Village/Pigtown,Census Tract 2102,NA,21230,TRUE,FALSE
9519,5301020A5FF2400D,2021/01/03 22:06:59+00,High,SD,OVERDOSE,P210032409,1300 JAMES ST,1300 JAMES ST BALTIMORE MD,Washington Village/Pigtown,Southern,932,10,D7,Washington Village/Pigtown,Census Tract 2102,NA,21223,FALSE,FALSE
9893,5501020A5FF25C84,2021/01/04 00:08:00+00,High,NE,OVERDOSE,P210032817,5000 E FEDERAL ST,5000 E FEDERAL ST BALTIMORE MD,Armistead Gardens,Northeastern,433,13,D6,Claremont/Armistead,Census Tract 2603.03,NA,21205,TRUE,FALSE
9926,6301020A5FF25F64,2021/01/04 00:20:00+00,High,CD,OVERDOSE,P210032854,500 BLK W PRESTON ST,500 BLK W PRESTON ST BALTIMORE MD,Upton,Central,123,11,D8,Upton/Druid Heights,Census Tract 1702,Central,21201,TRUE,FALSE
12075,9C01020A5FF33346,2021/01/04 15:24:00+00,High,SE,OVERDOSE,P210041602,E BALTIMORE ST/N HIGHLAND AV,E BALTIMORE ST and N HIGHLAND AV BALTIMORE MD,Baltimore Highlands,Southeastern,223,1,D6,Orangeville/East Highlandtown,Census Tract 2608,NA,21224,TRUE,FALSE
12417,5A01020A5FF34A7A,2021/01/04 17:03:00+00,High,ED,OVERDOSE,P210041966,1900 KENNEDY AV,1900 KENNEDY AV BALTIMORE MD,East Baltimore Midway,Eastern,342,12,D5,Midway/Coldstream,Census Tract 908,NA,21218,TRUE,FALSE
12426,5701020A5FF34B02,2021/01/04 17:06:00+00,High,CD,OVERDOSE,P210041974,1600 DIVISION ST,1600 DIVISION ST BALTIMORE MD,Upton,Central,123,11,D8,Upton/Druid Heights,Census Tract 1402,Central,21217,TRUE,FALSE
12430,5F01020A5FF34B44,2021/01/04 17:06:59+00,High,CD,OVERDOSE,P210041980,N CHARLES ST/E MT ROYAL AV,N CHARLES ST and E MT ROYAL AV BALTIMORE MD,Mid-Town Belvedere,Central,141,11,D8,Midtown,Census Tract 1102,NA,21201,TRUE,FALSE
12663,6301020A5FF35D9A,2021/01/04 18:24:59+00,High,NE,OVERDOSE,P210042226,3600 LYNDALE AV,3600 LYNDALE AV BALTIMORE MD,Belair-Edison,Northeastern,432,13,D6,Belair-Edison,Census Tract 2603.02,NA,21213,TRUE,FALSE
13277,9C01020A5FF38EE6,2021/01/04 21:55:00+00,High,SW,OVERDOSE,P210042890,1800 BLOOMINGDALE RD,1800 BLOOMINGDALE RD BALTIMORE MD,Rosemont,Southwestern,813,7,D9,Greater Rosemont,Census Tract 1506,NA,21216,TRUE,FALSE
13707,9C01020A5FF3A9AC,2021/01/04 23:50:00+00,High,NW,OVERDOSE,P210043345,SHIRLEY AV/PARK HEIGHTS AV,SHIRLEY AV and PARK HEIGHTS AV BALTIMORE MD,Central Park Heights,Northwestern,614,6,D1,Southern Park Heights,Census Tract 1512,NA,21215,TRUE,FALSE
14013,5B01020A5FF3BD82,2021/01/05 01:14:00+00,High,SD,OVERDOSE,P210043691,HORSESHOE CASINO,HORSESHOE CASINO BALTIMORE MD,Carroll - Camden Industrial Area,Southern,941,10,D7,Washington Village/Pigtown,Census Tract 2101,NA,21230,TRUE,FALSE
14401,5901020A5FF3DD58,2021/01/05 03:30:00+00,High,SW,OVERDOSE,P210044076,3900 EDMONDSON AV,3900 EDMONDSON AV BALTIMORE MD,Allendale,Southwestern,843,8,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.01,NA,21229,TRUE,FALSE
14428,9C01020A5FF3E193,2021/01/05 03:48:00+00,High,SW,OVERDOSE,P210044101,2500 BLK W FAYETTE ST,2500 BLK W FAYETTE ST BALTIMORE MD,Shipley Hill,Southwestern,842,9,D8,Southwest Baltimore,Census Tract 2002,NA,21223,TRUE,FALSE
14529,9C01020A5FF3EB94,2021/01/05 04:31:00+00,High,WD,OVERDOSE,P210044215,1600 N FULTON AV,1600 N FULTON AV BALTIMORE MD,Sandtown-Winchester,Western,742,7,D8,Sandtown-Winchester/Harlem Park,Census Tract 1502,Western,21217,TRUE,FALSE
15524,5901020A5FF43206,2021/01/05 09:30:59+00,High,SW,OVERDOSE,P210050904,4400 PARKTON ST,4400 PARKTON ST BALTIMORE MD,Yale Heights,Southwestern,833,8,D10,Allendale/Irvington/S. Hilton,Census Tract 2501.02,NA,21229,TRUE,FALSE
15755,5D01020A5FF45589,2021/01/05 12:03:00+00,High,SD,OVERDOSE,P210051151,2700 HOLLINS FERRY RD,2700 HOLLINS FERRY RD BALTIMORE MD,Lakeland,Southern,923,10,D7,Westport/Mount Winans/Lakeland,Census Tract 2502.05,NA,21230,TRUE,FALSE
16153,5F01020A5FF47690,2021/01/05 14:23:59+00,High,WD,OVERDOSE,P210051583,N FULTON AV/PENNSYLVANIA AV,N FULTON AV and PENNSYLVANIA AV BALTIMORE MD,Parkview/Woodbrook,Western,732,7,D9,Penn North/Reservoir Hill,Census Tract 1504,Western,21217,TRUE,FALSE
16456,A701020A5FF48BEA,2021/01/05 15:55:00+00,High,SE,OVERDOSE,P210051905,3300 E FAYETTE ST,3300 E FAYETTE ST BALTIMORE MD,Patterson Park Neighborhood,Southeastern,222,1,D6,Patterson Park North & East,Census Tract 2610,NA,21224,TRUE,FALSE
16473,5C01020A5FF48D64,2021/01/05 16:01:00+00,High,ND,OVERDOSE,P210051935,W COLD SPRING LN/GREENSPRING AV,W COLD SPRING LN and GREENSPRING AV BALTIMORE MD,Coldspring,Northern,532,6,D2,Mount Washington/Coldspring,Census Tract 1308.05,NA,21209,TRUE,FALSE
16833,5C01020A5FF4A958,2021/01/05 18:00:00+00,High,CD,OVERDOSE,P210052315,N EUTAW ST/W SARATOGA ST,N EUTAW ST and W SARATOGA ST BALTIMORE MD,Downtown,Central,111,11,D7,Downtown/Seton Hill,Census Tract 401,NA,21201,TRUE,FALSE
16946,5D01020A5FF4B1A9,2021/01/05 18:36:00+00,High,ND,OVERDOSE,P210052443,3800 COTTAGE AV,3800 COTTAGE AV BALTIMORE MD,Greenspring,Northern,533,6,D1,Southern Park Heights,Census Tract 1512,NA,21215,TRUE,FALSE
17219,6401020A5FF4CACF,2021/01/05 20:23:00+00,High,ED,OVERDOSE,P210052751,2300 E NORTH AV,2300 E NORTH AV BALTIMORE MD,South Clifton Park,Eastern,331,12,D5,Clifton-Berea,Census Tract 802,NA,21213,TRUE,FALSE
17692,6401020A5FF4DE32,2021/01/05 21:46:00+00,High,SD,OVERDOSE,P210053252,PASCAL AV/TOMPKINS ST,PASCAL AV and TOMPKINS ST BALTIMORE MD,Curtis Bay,Southern,911,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,NA,21225,TRUE,FALSE
18243,6101020A5FF4FDBF,2021/01/06 00:01:00+00,High,SW,OVERDOSE,P210053811,1900 BOOTH ST,1900 BOOTH ST BALTIMORE MD,Boyd-Booth,Southwestern,842,9,D8,Southwest Baltimore,Census Tract 2003,Tri-District,21223,TRUE,FALSE
18279,5301020A5FF4FFDE,2021/01/06 00:10:00+00,High,NE,OVERDOSE,P210053850,3000 ERDMAN AV,3000 ERDMAN AV BALTIMORE MD,Belair-Edison,Northeastern,432,13,D5,Belair-Edison,Census Tract 801.01,NA,21213,FALSE,FALSE
21279,24CC9DA95FF5E44F,2021/01/06 16:24:00+00,High,WD,OVERDOSE,P210062207,1100 HARLEM AV,1100 HARLEM AV BALTIMORE MD,Harlem Park,Western,713,9,D8,Sandtown-Winchester/Harlem Park,Census Tract 1601,Central,21217,TRUE,FALSE
21435,5F01020A5FF5F11A,2021/01/06 17:19:00+00,High,SW,OVERDOSE,P210062312,WILKENS AV/BRUNSWICK ST,WILKENS AV and BRUNSWICK ST BALTIMORE MD,Millhill,Southwestern,841,9,D10,Southwest Baltimore,Census Tract 2006,NA,21223,TRUE,FALSE
21629,5E01020A5FF60054,2021/01/06 18:24:00+00,High,WD,OVERDOSE,P210062545,N FULTON AV/W SARATOGA ST,N FULTON AV and W SARATOGA ST BALTIMORE MD,Franklin Square,Western,711,9,D8,Southwest Baltimore,Census Tract 1901,NA,21223,TRUE,FALSE
21868,5601020A5FF610A4,2021/01/06 19:33:00+00,High,SW,OVERDOSE,P210062801,W NORTH AV/N ROSEDALE ST,W NORTH AV and N ROSEDALE ST BALTIMORE MD,Northwest Community Action,Southwestern,813,7,D9,Greater Rosemont,Census Tract 1506,NA,21216,TRUE,FALSE
22352,5501020A5FF63179,2021/01/06 21:53:59+00,High,SW,OVERDOSE,P210063330,WICKES AV/HERKIMER ST,WICKES AV and HERKIMER ST BALTIMORE MD,Morrell Park,Southwestern,831,10,D10,Morrell Park/Violetville,Census Tract 2502.06,NA,21230,TRUE,FALSE
23155,5C01020A5FF66D23,2021/01/07 02:07:59+00,High,ND,OVERDOSE,P210064172,900 GORSUCH AV,900 GORSUCH AV BALTIMORE MD,Better Waverly,Northern,513,14,D5,The Waverlies,Census Tract 905,NA,21218,TRUE,FALSE
24743,5501020A5FF6E153,2021/01/07 10:24:00+00,High,SD,OVERDOSE,P210071151,1900 WILKENS AV,1900 WILKENS AV BALTIMORE MD,Carrollton Ridge,Southern,934,9,D8,Southwest Baltimore,Census Tract 2003,Tri-District,21223,TRUE,FALSE
24746,5E01020A5FF6E1AA,2021/01/07 10:25:00+00,High,SD,OVERDOSE,P210071150,1900 WILKENS AV,1900 WILKENS AV BALTIMORE MD,Carrollton Ridge,Southern,934,9,D8,Southwest Baltimore,Census Tract 2003,Tri-District,21223,TRUE,FALSE
25120,5501020A5FF718E6,2021/01/07 14:21:00+00,High,ED,OVERDOSE,P210071589,600 E MADISON ST,600 E MADISON ST BALTIMORE MD,Penn-Fallsway,Eastern,312,12,D5,Unassigned -- Jail,Census Tract 1003,NA,21202,TRUE,FALSE
25718,5A01020A5FF745AC,2021/01/07 17:32:00+00,High,WD,OVERDOSE,P210072279,1600 N FULTON AV,1600 N FULTON AV BALTIMORE MD,Sandtown-Winchester,Western,742,7,D8,Sandtown-Winchester/Harlem Park,Census Tract 1502,Western,21217,TRUE,FALSE
26043,5701020A5FF76194,2021/01/07 19:31:00+00,High,SW,OVERDOSE,P210072573,2000 GRIFFIS AV,2000 GRIFFIS AV BALTIMORE MD,Morrell Park,Southwestern,831,10,D7,Morrell Park/Violetville,Census Tract 2503.03,NA,21230,TRUE,FALSE
