incident,date,location,county
P362,2022-05-20,SMITHSBURG,Washington
P363,2022-05-20,HAGERSTOWN,Washington
P364,2022-05-20,HAGERSTOWN,Washington
P365,2022-05-20,HAGERSTOWN,Washington
P366,2022-05-20,HAGERSTOWN,Washington
P367,2022-05-21,FAIRPLAY,Washington
P368,2022-05-21,HAGERSTOWN,Washington
P369,2022-05-21,HAGERSTOWN,Washington
P370,2022-05-21,HAGERSTOWN,Washington
P371,2022-05-21,HAGERSTOWN,Washington
P372,2022-05-22,HAGERSTOWN,Washington
P373,2022-05-22,HAGERSTOWN,Washington
P374,2022-05-22,HAGERSTOWN,Washington
P375,2022-05-24,HAGERSTOWN,Washington
P376,2022-05-24,HAGERSTOWN,Washington
P377,2022-05-24,HALFWAY,Washington
P378,2022-05-24,HAGERSTOWN,Washington
P379,2022-05-25,HAGERSTOWN,Washington
P380,2022-05-26,HAGERSTOWN,Washington
P381,2022-05-26,HAGERSTOWN,Washington
P382,2022-05-26,HAGERSTOWN,Washington
P383,2022-05-27,HAGERSTOWN,Washington
P384,2022-05-28,CLEAR SPRING,Washington
P385,2022-05-28,HAGERSTOWN,Washington
P386,2022-05-29,HAGERSTOWN,Washington
P387,2022-05-29,HAGERSTOWN,Washington
P388,2022-05-30,HAGERSTOWN,Washington
P389,2022-05-30,OUT OF COUNTY,Washington
P390,2022-06-01,SMITHSBURG,Washington
P391,2022-06-02,BOONSBORO,Washington
P392,2022-06-02,HAGERSTOWN,Washington
P393,2022-06-03,HANCOCK,Washington
P394,2022-06-03,HAGERSTOWN,Washington
P395,2022-06-03,HAGERSTOWN,Washington
P396,2022-06-03,HAGERSTOWN,Washington
P397,2022-06-04,HAGERSTOWN,Washington
P398,2022-06-05,HAGERSTOWN,Washington
P399,2022-06-05,FAIRPLAY,Washington
P400,2022-06-05,HAGERSTOWN,Washington
P401,2022-06-05,OUT OF COUNTY,Washington
P402,2022-06-06,HAGERSTOWN,Washington
P403,2022-06-06,HALFWAY,Washington
P404,2022-06-06,MAUGANSVILLE,Washington
P405,2022-06-06,FUNKSTOWN,Washington
P406,2022-06-07,LONG MEADOW,Washington
P407,2022-06-07,MAUGANSVILLE,Washington
P408,2022-06-07,LONG MEADOW,Washington
P409,2022-06-08,HAGERSTOWN,Washington
P410,2022-06-08,HAGERSTOWN,Washington
P411,2022-06-08,HAGERSTOWN,Washington
P412,2022-06-08,HAGERSTOWN,Washington
P413,2022-06-08,HAGERSTOWN,Washington
P414,2022-06-09,KNOXVILLE,Washington
P415,2022-06-10,HAGERSTOWN,Washington
P416,2022-06-10,HAGERSTOWN,Washington
P417,2022-06-12,HAGERSTOWN,Washington
P418,2022-06-12,HAGERSTOWN,Washington
P419,2022-06-13,HAGERSTOWN,Washington
P420,2022-06-13,HAGERSTOWN,Washington
P421,2022-06-14,HAGERSTOWN,Washington
P422,2022-06-14,HAGERSTOWN,Washington
P423,2022-06-14,HAGERSTOWN,Washington
P424,2022-06-14,HALFWAY,Washington
P425,2022-06-15,HAGERSTOWN,Washington
P426,2022-06-15,HAGERSTOWN,Washington
P427,2022-06-15,HAGERSTOWN,Washington
P428,2022-06-16,HAGERSTOWN,Washington
P429,2022-06-16,HAGERSTOWN,Washington
P430,2022-06-16,HAGERSTOWN,Washington
P431,2022-06-16,HAGERSTOWN,Washington
P432,2022-06-16,HAGERSTOWN,Washington
P433,2022-06-16,HAGERSTOWN,Washington
P434,2022-06-16,HAGERSTOWN,Washington
P435,2022-06-17,HAGERSTOWN,Washington
P436,2022-06-17,FAIRPLAY,Washington
P437,2022-06-17,LONG MEADOW,Washington
P438,2022-06-18,HAGERSTOWN,Washington
P439,2022-06-19,WILLIAMSPORT,Washington
P440,2022-06-20,HAGERSTOWN,Washington
P441,2022-06-20,HAGERSTOWN,Washington
P442,2022-06-21,HAGERSTOWN,Washington
P443,2022-06-21,HALFWAY,Washington
P444,2022-06-21,SHARPSBURG,Washington
P445,2022-06-22,HAGERSTOWN,Washington
P446,2022-06-22,HAGERSTOWN,Washington
P447,2022-06-22,HAGERSTOWN,Washington
P448,2022-06-22,HAGERSTOWN,Washington
P449,2022-06-22,HAGERSTOWN,Washington
P450,2022-06-23,HAGERSTOWN,Washington
P451,2022-06-24,HAGERSTOWN,Washington
P452,2022-06-24,HAGERSTOWN,Washington
P453,2022-06-24,HAGERSTOWN,Washington
P454,2022-06-25,HAGERSTOWN,Washington
P455,2022-06-25,HAGERSTOWN,Washington
P456,2022-06-25,HAGERSTOWN,Washington
